,x,y,z,label
0,0.6809169385634103,-0.00387753729321888,-0.5134270580256572,0
1,0.278893420080862,-0.26913026256471145,-0.5807314473028061,0
2,-0.1407343340954504,0.33387440082044323,0.5839799178119026,1
3,-0.29510641053925324,0.7344407239181092,0.8929603735023058,1
4,-0.4096507667669937,0.20798348700306665,0.4411689872148313,1
5,-0.5437704631324755,0.20772155726880853,0.4977949543220189,1
6,0.5142354590357067,-0.09252195852979223,-0.7968631108450105,0
7,0.20828682254826125,-0.7487102904493522,-0.7451896019133647,0
8,0.22772118421199355,-0.5825675349780014,-0.606182581146295,0
9,-0.22714164693734504,0.5847893256216882,0.5722853303562606,1
10,-0.5565230092706298,0.41879563108803314,0.6113346179050416,1
11,-0.803397084504892,0.5167553050820424,0.687608755315462,1
12,0.1880404059627946,-0.24891893565655498,-0.610922705555568,0
13,-0.0031200639164885476,0.18293033362706318,-0.7087467554639316,0
14,-0.043965237113882304,0.5826679544002848,0.6938232911658039,1
15,0.4166568235768635,-0.5537403813896599,-0.6898642372529719,0
16,0.38885356792365267,-0.4138114500252117,-0.6224782813305434,0
17,0.19524341169229892,-0.09087850811018688,-0.9366557604870057,0
18,-0.0936279423915093,0.29869863819396586,-1.0,0
19,-0.3907161155196357,0.2142853678700963,0.7863306539298776,1
20,-0.38510426375520185,0.5602172206640252,0.39362950020586457,1
21,-0.39727340640811143,0.18003396503674648,0.7405259281028077,1
22,0.35411401725438113,0.06967223511040746,-0.46993107566004294,0
23,-0.6106545309451371,1.0,0.5910230984367686,1
24,-0.03608471108015812,-0.39160367519175876,-0.9972789393309337,0
25,0.03788348677375375,-0.8106429740704099,-0.7374169537432083,0
26,0.12331426948555052,0.4215253130370258,0.4839278456489259,1
27,-0.0654834018932911,0.1733452853811152,0.3527904025299835,1
28,-0.21988372312776458,0.37751256512070996,0.8165653664293265,1
29,-0.5486575250985776,0.022040348636491264,0.4696448089358496,1
30,0.17064269168983898,-0.18386779774607165,-0.5575755069598889,0
31,0.4247524809931804,-0.6300553811218131,-0.48636057251914216,0
32,0.40248986691089916,-0.16312472109028103,-0.7278990278390645,0
33,-0.3628663166163044,0.502037059313418,0.6827036100109293,1
