,x,y,label
0,0.107206103,-0.44733414,1
1,-0.156144882,0.756392817,0
2,-0.244800198,0.517415159,0
3,-0.721634224,-0.610693961,1
4,0.092208813,0.618092766,0
5,-0.460779098,0.040417197,1
6,0.404272681,-0.629804347,1
7,0.356155378,0.068042462,0
8,0.288875933,-0.967383423,1
9,0.199107987,-0.378856213,1
10,0.555772313,0.720806524,0
11,0.189361811,-0.639485744,1
12,0.349412779,-0.078205888,1
13,-0.230200955,0.602041671,0
14,-0.600695496,0.905727481,0
15,-0.121899461,0.268021895,0
16,-0.268057354,0.010539208,1
17,-0.235496402,0.608994835,0
18,-0.242111258,0.680268955,0
19,0.050412257,-0.697166055,1
20,0.341775324,0.626420822,0
21,0.038163488,-0.479930063,1
22,-0.215149271,-0.624893979,1
23,-0.089030378,0.505513291,0
24,-0.165712847,-0.668298239,1
25,0.105973539,-0.308703425,1
26,0.717342271,0.187612422,0
27,-0.159171254,-0.832042089,1
28,-0.344472986,0.73883444,0
29,0.182678112,0.429233949,0
30,0.156950443,-0.303240784,1
31,-0.266768934,0.637260008,0
32,0.093379608,-0.450255953,1
33,-0.277728208,0.335339125,0
34,-0.236637462,-0.567126599,1
35,-0.010116407,0.013115195,1
36,-0.102794608,-0.413628746,1
37,-0.016578851,-0.530263983,1
38,-0.053769265,0.587008353,0
39,0.621323265,0.433381899,0
40,-0.377826903,-0.401956441,1
41,0.334962344,0.39092516,0
42,0.718037029,0.339986985,0
43,0.057639039,0.197030515,0
44,-0.13357879,-0.676921697,1
45,0.139998917,0.60481035,0
46,-0.120328715,-0.058823723,1
47,0.999999999,0.440085995,0
48,-0.284795181,0.975418733,0
49,-0.517304509,0.376855227,0
50,-0.189438367,-0.634904715,1
51,0.805550104,-0.445122728,1
52,0.513064273,0.54122308,0
53,0.191718614,-0.824052074,1
54,-0.158252532,0.270056366,0
55,-0.21290002,0.326058542,0
56,-0.051334748,-0.192076836,1
57,-0.046852353,-0.597131618,1
58,0.032634049,-0.397687494,1
59,0.52446076,-0.462092861,1
60,-0.341824452,0.256845587,0
61,0.503254153,-0.948152872,1
62,-0.057787104,-0.470227142,1
63,0.025568589,0.257978807,0
64,0.325036847,0.688456741,0
65,9.33E-05,0.981063292,0
66,-0.151019914,0.491803587,0
67,0.177839844,-0.472407256,1
68,-0.078000316,-0.704881289,1
69,-0.139242104,-0.575203495,1
70,-0.239669854,-0.391408045,1
71,-0.255317472,0.60101749,0
72,0.408336078,0.450368668,0
73,0.128002004,0.636063644,0
74,-0.450654632,-0.61840535,1
75,-0.285164814,0.459413608,0
76,-0.125524171,-0.106995946,1
77,0.150969084,-0.070841702,1
78,0.16979774,-0.400117897,1
79,0.518775188,-0.477625392,1
80,0.399499856,0.914476321,0
81,0.318709607,0.272694576,0
82,-0.241036504,-0.496520435,1
83,0.06011416,-0.590947222,1
84,0.033601573,0.552218485,0
85,-0.158086695,0.650821823,0
86,-0.078319552,0.465615419,0
87,-0.009634393,0.411186554,0
88,0.002069122,-0.630626368,1
89,-0.021723044,0.407111448,0
90,0.08932995,0.284807125,0
91,-0.412516777,0.511173161,0
92,-0.239018445,-0.403744617,1
93,0.389721507,-0.697046712,1
94,0.779620771,-0.478794292,1
95,0.278040409,-0.961858607,1
96,-0.187460165,0.471747248,0
97,0.252617036,-0.588768015,1
98,-0.029628264,0.841308866,0
99,0.492369846,0.805005412,0
100,0.245570607,0.455847503,0
101,0.312786976,0.11952111,0
102,0.507740476,-0.521286777,1
103,0.6237492,-0.525176194,1
104,0.314645429,0.377422761,0
105,-0.089838362,-0.43830582,1
106,-0.437676802,0.140416433,0
107,-0.025343763,0.500734054,0
108,0.397543974,-0.643327193,1
109,0.196475618,-0.639913036,1
110,0.057376276,0.967109816,0
111,0.120872399,0.637776552,0
112,0.049653054,0.408849789,0
113,-0.3249052,0.443375905,0
114,-0.331451241,-0.511536731,1
115,0.690234921,0.390075652,0
116,-0.063110799,0.307258805,0
117,-0.504768981,-0.544709404,1
118,0.245476361,0.167017856,1
119,0.464615011,-0.69626077,1
120,0.407249648,-0.724793701,1
121,-0.413364317,-0.460579877,1
122,0.549485122,-0.710460828,1
123,0.127170283,0.652734608,0
124,-0.162688155,0.476009321,0
125,0.461504792,0.361097381,0
126,-0.999999999,0.893284315,0
